name,company,year,Price,kms_driven,fuel_type
Hyundai Santro Xing XO eRLX Euro III,Hyundai,2007,80000,45000,Petrol
Mahindra Jeep CL550 MDI,Mahindra,2006,425000,40,Diesel
Hyundai Grand i10 Magna 1.2 Kappa VTVT,Hyundai,2014,325000,28000,Petrol
Ford EcoSport Titanium 1.5L TDCi,Ford,2014,575000,36000,Diesel
Ford Figo,Ford,2012,175000,41000,Diesel
Hyundai Eon,Hyundai,2013,190000,25000,Petrol
Ford EcoSport Ambiente 1.5L TDCi,Ford,2016,830000,24530,Diesel
Maruti Suzuki Alto K10 VXi AMT,Maruti,2015,250000,60000,Petrol
Skoda Fabia Classic 1.2 MPI,Skoda,2010,182000,60000,Petrol
Maruti Suzuki Stingray VXi,Maruti,2015,315000,30000,Petrol
Hyundai Elite i20 Magna 1.2,Hyundai,2014,415000,32000,Petrol
Mahindra Scorpio SLE BS IV,Mahindra,2015,320000,48660,Diesel
Hyundai Santro Xing XO eRLX Euro III,Hyundai,2007,80000,45000,Petrol
Mahindra Jeep CL550 MDI,Mahindra,2006,425000,40,Diesel
Audi A8,Audi,2017,1000000,4000,Petrol
Audi Q7,Audi,2014,500000,16934,Diesel
Mahindra Scorpio S10,Mahindra,2016,350000,43000,Diesel
Maruti Suzuki Alto 800,Maruti,2014,160000,35550,Petrol
Mahindra Scorpio S10,Mahindra,2016,350000,43000,Diesel
Mahindra Scorpio S10,Mahindra,2016,310000,39522,Diesel
Maruti Suzuki Alto 800 Vxi,Maruti,2015,75000,39000,Petrol
Hyundai i20 Sportz 1.2,Hyundai,2012,100000,55000,Petrol
Hyundai i20 Sportz 1.2,Hyundai,2012,100000,55000,Petrol
Hyundai i20 Sportz 1.2,Hyundai,2012,100000,55000,Petrol
Maruti Suzuki Alto 800 Lx,Maruti,2017,190000,72000,Petrol
Maruti Suzuki Vitara Brezza ZDi,Maruti,2016,290000,15975,Diesel
Maruti Suzuki Alto LX,Maruti,2008,95000,70000,Petrol
Mahindra Bolero DI,Mahindra,2017,180000,23452,Diesel
Maruti Suzuki Swift Dzire ZDi,Maruti,2014,385000,35522,Diesel
Mahindra Scorpio S10 4WD,Mahindra,2015,250000,48508,Diesel
Maruti Suzuki Swift Vdi BSIII,Maruti,2017,180000,15487,Petrol
Maruti Suzuki Wagon R VXi BS III,Maruti,2013,105000,39000,Petrol
Maruti Suzuki Wagon R VXi Minor,Maruti,2013,105000,39000,Petrol
Toyota Innova 2.0 G 8 STR BS IV,Toyota,2012,650000,82000,Diesel
Renault Lodgy 85 PS RXL,Renault,2018,689999,20000,Diesel
Skoda Yeti Ambition 2.0 TDI CR 4x2,Skoda,2012,448000,68000,Diesel
Maruti Suzuki Baleno Delta 1.2,Maruti,2017,549000,32000,Diesel
Renault Duster 110 PS RxZ Diesel Plus,Renault,2012,501000,38000,Diesel
Renault Duster 85 PS RxE Diesel,Renault,2013,489999,27000,Diesel
Honda City 1.5 S MT,Honda,2011,280000,33000,Petrol
Maruti Suzuki Alto K10 VXi AMT,Maruti,2015,250000,60000,Petrol
Maruti Suzuki Dzire,Maruti,2013,349999,46000,Diesel
Honda Amaze,Honda,2013,284999,46000,Diesel
Honda Amaze 1.5 SX i DTEC,Honda,2015,345000,36000,Diesel
Honda City,Honda,2015,499999,55000,Petrol
Datsun Redi GO S,Datsun,2017,235000,16000,Petrol
Maruti Suzuki SX4 ZXI MT,Maruti,2010,249999,36000,Petrol
Mitsubishi Pajero Sport Limited Edition,Mitsubishi,2015,1475000,47000,Diesel
Mahindra Bolero DI,Mahindra,2017,180000,23452,Diesel
Maruti Suzuki Swift Dzire ZDi,Maruti,2014,385000,35522,Diesel
Mahindra Scorpio S10 4WD,Mahindra,2015,250000,48508,Diesel
Maruti Suzuki Swift Vdi BSIII,Maruti,2017,180000,15487,Petrol
Maruti Suzuki Wagon R VXi BS III,Maruti,2013,105000,39000,Petrol
Maruti Suzuki Wagon R VXi Minor,Maruti,2013,105000,39000,Petrol
Mahindra Scorpio S10,Mahindra,2015,395000,35000,Diesel
Maruti Suzuki Swift VXi 1.2 ABS BS IV,Maruti,2017,220000,30874,Petrol
Honda City ZX CVT,Honda,2017,170000,15000,Diesel
Maruti Suzuki Wagon R LX BS IV,Maruti,2013,85000,29685,Petrol
Ford Figo,Ford,2012,175000,41000,Diesel
Hyundai Eon,Hyundai,2013,190000,25000,Petrol
Tata Indigo eCS LS CR4 BS IV,Tata,2017,200000,130000,Diesel
Ford EcoSport Ambiente 1.5L TDCi,Ford,2016,830000,24530,Diesel
Tata Indigo eCS LS CR4 BS IV,Tata,2017,200000,130000,Diesel
Mahindra Scorpio SLE BS IV,Mahindra,2012,570000,19000,Diesel
Volkswagen Polo Highline Exquisite P,Volkswagen,2014,315000,60000,Petrol
Skoda Fabia Classic 1.2 MPI,Skoda,2010,182000,60000,Petrol
Maruti Suzuki Stingray VXi,Maruti,2015,315000,30000,Petrol
Chevrolet Spark LS 1.0,Chevrolet,2010,110000,41000,Petrol
Renault Duster 110PS Diesel RxZ,Renault,2012,501000,35000,Diesel
Honda City,Honda,2015,448999,54000,Petrol
Mini Cooper S 1.6,Mini,2013,1891111,13000,Petrol
Datsun Redi GO S,Datsun,2017,235000,16000,Petrol
Skoda Fabia 1.2L Diesel Ambiente,Skoda,2011,159500,38200,Diesel
Honda Amaze,Honda,2015,344999,22000,Petrol
Honda Amaze,Honda,2015,344999,22000,Petrol
Renault Duster,Renault,2014,449999,50000,Diesel
Mini Cooper S 1.6,Mini,2013,1891111,13500,Petrol
Mahindra Scorpio S4,Mahindra,2015,865000,30000,Diesel
Mahindra Scorpio VLX 2WD BS IV,Mahindra,2014,699000,50000,Diesel
Mahindra Quanto C8,Mahindra,2013,375000,20000,Diesel
Ford EcoSport,Ford,2017,489999,39000,Petrol
Honda Brio,Honda,2012,224999,30000,Petrol
